epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3095.39,1.60137,1.18117,1.33895,0.36598,0.17218,0.1499,0.06616,2.36264,2.55565,1.86951,0.008581,0.008581,0.008581
45,3164.96,1.55861,1.1454,1.33996,0.34788,0.22691,0.1689,0.07187,2.35774,2.41958,1.82215,0.008548,0.008548,0.008548
46,3234.09,1.63676,1.18165,1.34913,0.2983,0.20939,0.1879,0.07981,2.29068,2.59449,1.73552,0.008515,0.008515,0.008515
47,3303.35,1.5988,1.15404,1.33107,0.30766,0.26262,0.22649,0.09826,2.20472,2.09127,1.70631,0.008482,0.008482,0.008482
48,3372.56,1.60398,1.15243,1.35242,0.49136,0.24268,0.24728,0.11775,2.06536,1.97778,1.57874,0.008449,0.008449,0.008449
49,3442.07,1.56204,1.12755,1.32172,0.61615,0.13122,0.12659,0.05838,2.3431,2.87447,1.71271,0.008416,0.008416,0.008416
50,3511.51,1.60442,1.1577,1.3365,0.46418,0.17437,0.16119,0.07098,2.40108,2.28528,1.74928,0.008383,0.008383,0.008383
51,3580.59,1.57419,1.12541,1.33148,0.29406,0.20346,0.19587,0.08877,2.18791,2.42479,1.7079,0.00835,0.00835,0.00835
52,3649.86,1.56021,1.10316,1.31998,0.38515,0.19449,0.17113,0.07979,2.35287,2.34094,1.8484,0.008317,0.008317,0.008317
53,3719.35,1.56293,1.11095,1.31437,0.25211,0.20033,0.18891,0.08359,2.243,2.32363,1.63695,0.008284,0.008284,0.008284
54,3789.02,1.54164,1.0968,1.30836,0.32927,0.24345,0.22555,0.10981,1.97914,2.98172,1.52072,0.008251,0.008251,0.008251
55,3859.26,1.53365,1.10375,1.31313,0.46664,0.24462,0.25133,0.11138,2.06749,1.87625,1.63335,0.008218,0.008218,0.008218
56,3929.02,1.53021,1.07485,1.30024,0.21643,0.17836,0.15372,0.06713,2.4964,2.67007,1.89468,0.008185,0.008185,0.008185
57,3998.43,1.51737,1.07118,1.28375,0.37729,0.23118,0.25422,0.11596,2.08898,1.9768,1.59654,0.008152,0.008152,0.008152
58,4068.1,1.54189,1.10121,1.30581,0.61281,0.2178,0.21942,0.10032,2.18039,2.03808,1.63473,0.008119,0.008119,0.008119
59,4137.89,1.50419,1.05809,1.28038,0.30103,0.27296,0.25635,0.12102,2.01901,1.99177,1.55158,0.008086,0.008086,0.008086
60,4208.45,1.50241,1.06023,1.29714,0.28364,0.29852,0.24941,0.1185,2.02418,2.14521,1.53156,0.008053,0.008053,0.008053
61,4278.66,1.48744,1.03315,1.27026,0.16488,0.20047,0.1581,0.06636,2.42933,2.56965,1.70316,0.00802,0.00802,0.00802
62,4348.74,1.50222,1.05003,1.28993,0.48775,0.29092,0.27624,0.12291,2.16105,1.87075,1.57943,0.007987,0.007987,0.007987
63,4418.99,1.48459,1.06442,1.28052,0.54001,0.21848,0.20386,0.09449,2.25878,2.46737,1.69716,0.007954,0.007954,0.007954
64,4489.15,1.48362,1.03087,1.2863,0.36241,0.21979,0.19508,0.08807,2.16977,2.53253,1.64854,0.007921,0.007921,0.007921
65,4559.16,1.47263,1.01861,1.26777,0.4015,0.25096,0.22697,0.10325,2.07713,2.22908,1.5993,0.007888,0.007888,0.007888
66,4629.28,1.47251,1.02108,1.27951,0.43374,0.15735,0.16067,0.06179,2.46042,2.80446,1.80999,0.007855,0.007855,0.007855
67,4699.47,1.47474,1.03657,1.27855,0.33388,0.23539,0.18099,0.07833,2.38562,2.48009,1.7295,0.007822,0.007822,0.007822
68,4769.82,1.47425,1.03111,1.27589,0.50988,0.23868,0.24899,0.11834,2.03788,1.97573,1.55135,0.007789,0.007789,0.007789
69,4840.11,1.44527,1.01142,1.24189,0.54713,0.28586,0.30579,0.1459,2.08223,1.85936,1.5994,0.007756,0.007756,0.007756
70,4911.93,1.45549,1.01598,1.27576,0.33077,0.25316,0.23679,0.10782,2.14549,2.16107,1.79158,0.007723,0.007723,0.007723
71,4981.94,1.46764,1.02734,1.27197,0.51353,0.25994,0.25596,0.12565,2.01482,1.96169,1.52444,0.00769,0.00769,0.00769
72,5051.98,1.44146,0.99559,1.25951,0.24177,0.22534,0.17121,0.07638,2.30139,2.41978,1.71419,0.007657,0.007657,0.007657
73,5121.6,1.4382,1.01559,1.25879,0.36961,0.21141,0.16977,0.06941,2.34815,2.64796,1.76778,0.007624,0.007624,0.007624
74,5191.65,1.42739,0.97428,1.24448,0.32727,0.2784,0.27916,0.13039,2.08103,1.83838,1.56005,0.007591,0.007591,0.007591
75,5261.63,1.44201,1.00858,1.24823,0.50512,0.28751,0.27872,0.13126,1.9603,1.76838,1.54077,0.007558,0.007558,0.007558
76,5331.64,1.4247,0.97925,1.24463,0.21355,0.1786,0.1513,0.06521,2.38933,2.42005,1.91279,0.007525,0.007525,0.007525
77,5401.41,1.42033,0.96673,1.23152,0.31396,0.26317,0.23531,0.10728,2.073,2.13621,1.55739,0.007492,0.007492,0.007492
78,5471.29,1.40033,0.97086,1.23946,0.2502,0.29156,0.24446,0.1104,1.9653,1.97829,1.51199,0.007459,0.007459,0.007459
79,5540.95,1.41102,0.97171,1.23986,0.41817,0.22824,0.21225,0.09865,2.04207,1.97368,1.55421,0.007426,0.007426,0.007426
80,5610.78,1.37635,0.96115,1.21509,0.39929,0.17771,0.16061,0.06996,2.40295,2.53114,1.897,0.007393,0.007393,0.007393
81,5680.26,1.39673,0.95084,1.24079,0.43788,0.23526,0.21698,0.0943,2.11787,1.9784,1.62021,0.00736,0.00736,0.00736
82,5749.41,1.39353,0.95593,1.22843,0.37128,0.28766,0.28267,0.13989,1.94281,2.07871,1.48256,0.007327,0.007327,0.007327
83,5818.29,1.38939,0.95476,1.22577,0.2851,0.2476,0.22704,0.10473,2.16816,2.403,1.62953,0.007294,0.007294,0.007294
