epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2924.36,1.55999,1.11223,1.31206,0.3489,0.21956,0.1619,0.06988,2.39252,2.45704,1.70206,0.008581,0.008581,0.008581
45,2990.73,1.51266,1.0932,1.30743,0.20768,0.22856,0.14335,0.06312,2.44165,2.95923,1.67523,0.008548,0.008548,0.008548
46,3057.01,1.57685,1.11685,1.30711,0.37402,0.28164,0.21012,0.0866,2.26159,2.30433,1.63118,0.008515,0.008515,0.008515
47,3123.32,1.54107,1.09047,1.30023,0.24721,0.25557,0.20682,0.09146,2.18148,2.26473,1.64788,0.008482,0.008482,0.008482
48,3189.73,1.52608,1.07744,1.30921,0.29447,0.2791,0.23826,0.1048,2.16573,1.93408,1.5832,0.008449,0.008449,0.008449
49,3256.18,1.5254,1.06867,1.29715,0.41683,0.25267,0.20762,0.08977,2.22546,2.45428,1.69935,0.008416,0.008416,0.008416
50,3322.71,1.5477,1.10672,1.3032,0.23665,0.2612,0.20417,0.09532,2.15088,2.22098,1.61455,0.008383,0.008383,0.008383
51,3389.13,1.51748,1.08112,1.29249,0.25635,0.20683,0.1856,0.08577,2.22164,3.02655,1.66183,0.00835,0.00835,0.00835
52,3455.47,1.49882,1.05805,1.28145,0.51574,0.21205,0.21284,0.09065,2.16547,2.15486,1.58247,0.008317,0.008317,0.008317
53,3521.69,1.51223,1.06086,1.28167,0.26967,0.2548,0.23343,0.10312,2.22567,2.2449,1.64769,0.008284,0.008284,0.008284
54,3588.03,1.47612,1.04382,1.27318,0.20637,0.28856,0.21327,0.09235,2.20531,2.25551,1.58781,0.008251,0.008251,0.008251
55,3654.45,1.49023,1.04864,1.2856,0.29372,0.27143,0.24638,0.11442,1.9695,1.96085,1.49614,0.008218,0.008218,0.008218
56,3720.78,1.47726,1.04146,1.27521,0.34153,0.2131,0.1817,0.0872,2.13712,2.21268,1.60919,0.008185,0.008185,0.008185
57,3787.14,1.45822,1.02124,1.25119,0.38444,0.24134,0.23221,0.10745,2.1478,2.16433,1.53969,0.008152,0.008152,0.008152
58,3853.42,1.48606,1.04877,1.27159,0.35849,0.19296,0.17225,0.07549,2.30705,2.23657,1.63588,0.008119,0.008119,0.008119
59,3919.77,1.451,1.00665,1.2501,0.20741,0.20215,0.16934,0.08251,2.16369,2.18665,1.6282,0.008086,0.008086,0.008086
60,3986.19,1.44335,1.02391,1.25966,0.37931,0.21279,0.19527,0.09105,2.22227,2.25833,1.60783,0.008053,0.008053,0.008053
61,4052.43,1.44531,0.99853,1.24749,0.29025,0.19791,0.18809,0.0781,2.33863,2.49603,1.69485,0.00802,0.00802,0.00802
62,4118.95,1.46715,1.01403,1.2728,0.27917,0.21973,0.21363,0.09046,2.30509,2.29236,1.66327,0.007987,0.007987,0.007987
63,4185.4,1.45761,1.03051,1.25386,0.18887,0.18998,0.13958,0.05931,2.39642,2.72933,1.78613,0.007954,0.007954,0.007954
64,4252.06,1.4537,1.02084,1.26532,0.28349,0.23421,0.20688,0.09326,2.11332,2.11725,1.54702,0.007921,0.007921,0.007921
65,4318.34,1.43262,0.99862,1.2379,0.29632,0.21207,0.20141,0.09326,2.14667,2.27425,1.65323,0.007888,0.007888,0.007888
66,4384.6,1.41903,0.97701,1.25134,0.29703,0.31398,0.25312,0.1151,2.09248,1.99239,1.62002,0.007855,0.007855,0.007855
67,4450.91,1.43336,0.98935,1.25118,0.47572,0.17145,0.17668,0.08178,2.27718,2.21875,1.64554,0.007822,0.007822,0.007822
68,4517.14,1.43231,0.99741,1.25183,0.30866,0.27994,0.23895,0.10628,2.11485,2.02876,1.58669,0.007789,0.007789,0.007789
69,4583.33,1.41479,0.97145,1.22501,0.42605,0.22776,0.21202,0.08932,2.24148,2.2574,1.66512,0.007756,0.007756,0.007756
70,4649.68,1.41713,1.00115,1.25055,0.25434,0.30592,0.22833,0.09574,2.17176,2.2403,1.61106,0.007723,0.007723,0.007723
71,4716.01,1.40512,0.97563,1.23625,0.29888,0.27176,0.24026,0.10534,2.14642,2.05312,1.6314,0.00769,0.00769,0.00769
72,4782.46,1.4091,0.96036,1.23122,0.29182,0.31475,0.25735,0.10979,2.13979,2.1482,1.61658,0.007657,0.007657,0.007657
73,4848.9,1.40701,0.97932,1.24042,0.30192,0.30064,0.23458,0.103,2.11977,2.23151,1.60153,0.007624,0.007624,0.007624
74,4915.47,1.395,0.97453,1.22189,0.42656,0.25743,0.21982,0.09695,2.1378,2.0915,1.59957,0.007591,0.007591,0.007591
75,4981.87,1.40719,0.96862,1.23197,0.31452,0.31819,0.25138,0.11593,2.05757,2.08431,1.54283,0.007558,0.007558,0.007558
76,5048.34,1.39744,0.95562,1.2303,0.32112,0.08223,0.07118,0.02886,2.96169,4.10004,2.30783,0.007525,0.007525,0.007525
77,5114.81,1.3932,0.93732,1.21089,0.2709,0.27149,0.2394,0.10632,2.0567,1.92532,1.5839,0.007492,0.007492,0.007492
78,5181.11,1.37849,0.9471,1.22261,0.48999,0.17633,0.19544,0.08379,2.33274,2.66366,1.69026,0.007459,0.007459,0.007459
79,5247.49,1.37083,0.93768,1.21541,0.23183,0.21655,0.16409,0.07464,2.31753,2.27008,1.70322,0.007426,0.007426,0.007426
80,5313.71,1.35331,0.93645,1.19964,0.4402,0.2295,0.19003,0.08355,2.26329,2.4573,1.69143,0.007393,0.007393,0.007393
81,5379.93,1.36342,0.93036,1.22136,0.27779,0.26827,0.23469,0.10514,2.14401,1.94309,1.60457,0.00736,0.00736,0.00736
82,5446.23,1.37924,0.91911,1.21246,0.25618,0.26773,0.22829,0.1127,2.00793,1.8945,1.5073,0.007327,0.007327,0.007327
83,5512.86,1.36979,0.94519,1.20594,0.24365,0.27091,0.19489,0.09046,2.14369,2.4308,1.60671,0.007294,0.007294,0.007294
84,5579.13,1.33944,0.91753,1.19474,0.26997,0.29999,0.25372,0.116,1.95661,1.82782,1.484,0.007261,0.007261,0.007261
85,5645.39,1.35505,0.91346,1.21978,0.26393,0.25034,0.20986,0.09795,2.15088,2.05243,1.56949,0.007228,0.007228,0.007228
86,5711.65,1.34713,0.94485,1.20597,0.25309,0.29878,0.22256,0.10008,2.12646,2.20789,1.57309,0.007195,0.007195,0.007195
87,5777.97,1.33458,0.90329,1.19677,0.25424,0.27929,0.2243,0.09775,2.10537,2.199,1.561,0.007162,0.007162,0.007162
88,5844.18,1.33891,0.87984,1.21044,0.26579,0.24241,0.20369,0.09017,2.25596,2.40192,1.66115,0.007129,0.007129,0.007129
89,5910.77,1.34792,0.91086,1.2061,0.38746,0.24372,0.21052,0.0934,2.11055,2.12363,1.57878,0.007096,0.007096,0.007096
90,5977.02,1.35468,0.92939,1.19738,0.41947,0.2843,0.21444,0.09133,2.17429,2.14804,1.61493,0.007063,0.007063,0.007063
91,6043.34,1.33804,0.89645,1.19151,0.2463,0.2225,0.19221,0.08216,2.18277,2.58284,1.55488,0.00703,0.00703,0.00703
92,6109.75,1.35753,0.93066,1.21944,0.22473,0.23358,0.20347,0.09235,2.08712,2.01847,1.55946,0.006997,0.006997,0.006997
