epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,403.314,1.623,1.22505,1.34249,0.52145,0.4744,0.48733,0.22263,1.7513,1.20289,1.40802,0.008581,0.008581,0.008581
45,411.882,1.59901,1.19593,1.34532,0.61923,0.6144,0.63289,0.28422,1.60421,1.06403,1.35926,0.008548,0.008548,0.008548
46,420.474,1.63402,1.22698,1.3341,0.58708,0.50709,0.51257,0.23108,1.66742,1.23647,1.38396,0.008515,0.008515,0.008515
47,429.053,1.61124,1.21796,1.3355,0.60043,0.62222,0.59963,0.29298,1.58621,1.10464,1.32831,0.008482,0.008482,0.008482
48,437.652,1.60616,1.20269,1.34381,0.62103,0.34544,0.46612,0.19271,1.96987,1.46193,1.55807,0.008449,0.008449,0.008449
49,446.213,1.57919,1.17247,1.31078,0.56395,0.58652,0.57436,0.25464,1.70456,1.13888,1.36012,0.008416,0.008416,0.008416
50,454.752,1.60331,1.21795,1.32609,0.5162,0.33251,0.32991,0.15219,2.02576,1.73747,1.54603,0.008383,0.008383,0.008383
51,463.306,1.59334,1.1979,1.32721,0.67917,0.60312,0.62144,0.30154,1.54646,1.10532,1.29217,0.00835,0.00835,0.00835
52,471.88,1.56308,1.1704,1.30776,0.55216,0.59081,0.52858,0.24577,1.59507,1.14604,1.32621,0.008317,0.008317,0.008317
53,480.471,1.56057,1.15982,1.30502,0.56154,0.48486,0.43989,0.20361,1.69833,1.37084,1.36685,0.008284,0.008284,0.008284
54,489.079,1.55377,1.15447,1.29878,0.48274,0.39763,0.37567,0.17774,1.70809,1.58694,1.39542,0.008251,0.008251,0.008251
55,497.652,1.54812,1.1581,1.30865,0.66255,0.60942,0.64368,0.29163,1.58961,1.11051,1.31714,0.008218,0.008218,0.008218
56,506.215,1.55578,1.16396,1.30118,0.55593,0.57935,0.55503,0.27715,1.57138,1.10564,1.31067,0.008185,0.008185,0.008185
57,514.799,1.53929,1.12573,1.28246,0.46275,0.45303,0.40016,0.18454,1.64367,1.40339,1.39282,0.008152,0.008152,0.008152
58,523.364,1.56089,1.18446,1.30388,0.54882,0.43211,0.44501,0.20418,1.83977,1.29802,1.47788,0.008119,0.008119,0.008119
