epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5666,4.63982,5.2344,3.9943,0,0,0,0,3.67472,4.6865,3.79319,0.0704762,0.00328042,0.00328042
2,136.512,4.26979,4.59857,3.56521,9e-05,0.00777,5e-05,1e-05,3.63972,4.48914,3.63226,0.0404544,0.00659193,0.00659193
3,204.062,4.03665,4.4409,3.37278,9e-05,0.01418,5e-05,2e-05,3.97518,76.4235,9.08496,0.0104105,0.00988144,0.00988144
4,271.647,3.92503,4.37336,3.19619,9e-05,0.01418,5e-05,2e-05,4.75849,6.365,7.25126,0.009901,0.009901,0.009901
5,339.667,3.74405,3.94743,3.02488,0.14547,0.05654,0.00034,0.00012,4.39063,inf,5.78099,0.009868,0.009868,0.009868
6,407.296,3.43881,3.41459,2.61021,0.1627,0.00731,0.00432,0.00097,4.3107,4.78878,3.479,0.009835,0.009835,0.009835
7,474.864,3.14193,2.87266,2.19149,0.32011,0.02821,0.01135,0.00258,3.93664,5.66827,2.81977,0.009802,0.009802,0.009802
8,542.55,2.90503,2.58606,2.06175,0.33869,0.24604,0.02282,0.00739,3.28442,14.524,2.64778,0.009769,0.009769,0.009769
9,609.998,2.72856,2.37143,1.9301,0.01606,0.17175,0.01274,0.00387,3.47803,6.88628,2.62038,0.009736,0.009736,0.009736
10,677.427,2.56173,2.16834,1.8292,0.24603,0.09553,0.05245,0.01481,3.15293,3.53576,2.28042,0.009703,0.009703,0.009703
11,744.848,2.40991,2.09965,1.7736,0.37631,0.10289,0.06622,0.02272,2.77591,3.02318,2.01865,0.00967,0.00967,0.00967
12,812.286,2.34556,1.98485,1.72527,0.03531,0.20377,0.03679,0.01066,3.25383,10.2913,2.5557,0.009637,0.009637,0.009637
13,879.629,2.26173,1.86914,1.69276,0.01903,0.10694,0.01482,0.00426,3.65412,5.0678,2.44147,0.009604,0.009604,0.009604
14,947.111,2.22571,1.82209,1.66694,0.14376,0.14265,0.06889,0.0207,2.92463,2.90308,2.2319,0.009571,0.009571,0.009571
15,1014.65,2.16984,1.79186,1.63781,0.2,0.11478,0.09475,0.03418,2.78895,3.33953,2.09884,0.009538,0.009538,0.009538
16,1082.08,2.15042,1.75148,1.61623,0.24513,0.12681,0.08667,0.02892,2.92138,2.98575,1.99219,0.009505,0.009505,0.009505
17,1149.54,2.11538,1.72683,1.61798,0.0914,0.10598,0.04052,0.01264,3.02339,3.47851,2.23358,0.009472,0.009472,0.009472
18,1216.89,2.06025,1.65496,1.57867,0.26693,0.05265,0.03727,0.01076,3.44816,3.83613,2.8036,0.009439,0.009439,0.009439
19,1284.38,2.04336,1.62822,1.54556,0.12138,0.15373,0.06332,0.02137,2.76187,3.5896,2.07344,0.009406,0.009406,0.009406
20,1351.83,2.01018,1.56922,1.53803,0.3519,0.17303,0.1061,0.03715,2.68059,2.75619,1.9738,0.009373,0.009373,0.009373
21,1419.45,2.00869,1.6186,1.57091,0.15867,0.12745,0.07457,0.02141,2.99792,3.06024,2.11428,0.00934,0.00934,0.00934
22,1486.71,1.96707,1.54254,1.51629,0.1201,0.10885,0.08669,0.02892,2.68877,3.01917,1.97564,0.009307,0.009307,0.009307
23,1554.06,1.93864,1.5303,1.52211,0.2956,0.12611,0.07262,0.02635,2.95401,3.31913,2.46547,0.009274,0.009274,0.009274
24,1621.48,1.89434,1.48306,1.50224,0.37621,0.18482,0.15102,0.05558,2.5404,2.70894,1.8816,0.009241,0.009241,0.009241
25,1688.87,1.89216,1.43892,1.47497,0.38,0.24423,0.17057,0.06188,2.44842,2.29992,1.73226,0.009208,0.009208,0.009208
26,1756.26,1.87199,1.42185,1.47367,0.37445,0.23748,0.18145,0.07151,2.37819,2.17343,1.74308,0.009175,0.009175,0.009175
27,1823.74,1.83114,1.40544,1.4359,0.28657,0.27837,0.2155,0.088,2.30352,2.18501,1.67698,0.009142,0.009142,0.009142
28,1891.03,1.81954,1.38326,1.46043,0.35341,0.17823,0.1314,0.04879,2.68915,2.54663,2.16044,0.009109,0.009109,0.009109
29,1958.37,1.82267,1.37483,1.43948,0.35262,0.15273,0.12461,0.04676,2.71981,2.67126,2.25726,0.009076,0.009076,0.009076
30,2025.74,1.81029,1.3519,1.43921,0.17592,0.2212,0.15035,0.05922,2.34407,2.43417,1.69537,0.009043,0.009043,0.009043
31,2093.24,1.79261,1.34526,1.4328,0.18433,0.14413,0.12091,0.0487,2.49601,3.34282,1.76985,0.00901,0.00901,0.00901
32,2160.61,1.76845,1.35221,1.42502,0.31317,0.19245,0.13894,0.05069,2.52725,2.64137,1.71945,0.008977,0.008977,0.008977
33,2228.07,1.75654,1.334,1.4137,0.46596,0.27018,0.2504,0.11162,2.12731,2.06723,1.58936,0.008944,0.008944,0.008944
34,2295.58,1.74569,1.31603,1.40753,0.28063,0.17564,0.17115,0.06545,2.37312,2.71929,1.73898,0.008911,0.008911,0.008911
35,2362.84,1.75263,1.30324,1.40426,0.31025,0.25581,0.23857,0.10795,2.25052,2.19324,1.67798,0.008878,0.008878,0.008878
36,2430.15,1.736,1.30096,1.40492,0.42383,0.17986,0.18825,0.07928,2.58439,2.48131,2.01828,0.008845,0.008845,0.008845
37,2497.45,1.71319,1.2752,1.39104,0.40895,0.18873,0.17993,0.07232,2.58909,2.50255,1.94538,0.008812,0.008812,0.008812
38,2564.82,1.70583,1.26122,1.40125,0.43337,0.22958,0.22288,0.09251,2.25778,2.1341,1.65965,0.008779,0.008779,0.008779
39,2632.13,1.68758,1.25531,1.38191,0.26827,0.14564,0.1397,0.05989,2.32206,2.25287,1.69848,0.008746,0.008746,0.008746
40,2699.52,1.6938,1.25789,1.39295,0.33206,0.20242,0.20262,0.08741,2.30778,2.3633,1.71796,0.008713,0.008713,0.008713
41,2766.94,1.68502,1.24076,1.35057,0.33772,0.25906,0.24766,0.10838,2.20079,2.06168,1.625,0.00868,0.00868,0.00868
42,2834.24,1.6972,1.24593,1.37174,0.34171,0.28631,0.29263,0.12949,2.06118,1.95275,1.59298,0.008647,0.008647,0.008647
43,2901.74,1.65787,1.22442,1.3553,0.46833,0.2833,0.25046,0.1104,2.09988,2.06561,1.58843,0.008614,0.008614,0.008614
44,2969.22,1.63142,1.21373,1.34402,0.3234,0.29361,0.26761,0.11537,2.0323,1.89964,1.56498,0.008581,0.008581,0.008581
45,3036.7,1.59136,1.17859,1.34036,0.2913,0.23599,0.22457,0.09047,2.18608,2.13876,1.63625,0.008548,0.008548,0.008548
46,3104.19,1.6513,1.21454,1.34244,0.41957,0.28352,0.23139,0.10387,2.10009,2.01408,1.56844,0.008515,0.008515,0.008515
47,3171.69,1.62018,1.17964,1.33113,0.38187,0.30092,0.31338,0.14486,2.07694,1.859,1.58649,0.008482,0.008482,0.008482
48,3239.21,1.63502,1.18936,1.35212,0.4976,0.24075,0.24526,0.10809,2.05473,2.07095,1.54675,0.008449,0.008449,0.008449
49,3306.77,1.59509,1.15333,1.30901,0.15547,0.17588,0.14336,0.06061,2.33117,2.48517,1.64587,0.008416,0.008416,0.008416
50,3374.32,1.60229,1.19072,1.31416,0.4666,0.23552,0.24023,0.10824,2.14147,2.13517,1.59113,0.008383,0.008383,0.008383
51,3441.74,1.60945,1.15558,1.33599,0.22056,0.214,0.17927,0.07519,2.27304,2.23072,1.65621,0.00835,0.00835,0.00835
52,3509.12,1.57083,1.13997,1.30813,0.3434,0.12507,0.1405,0.06264,2.32816,3.0056,1.70405,0.008317,0.008317,0.008317
