                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,1.3632,1.0271,1.0782,0.69088,0.62855,0.69966,0.34539,1.5701,1.1402,1.1412,0.00077701,0.00077701,0.00077701
46,1.3823,1.0426,1.0812,0.752,0.76582,0.792,0.39718,1.4196,0.95798,1.0464,0.00077401,0.00077401,0.00077401
47,1.3715,1.0452,1.0871,0.72528,0.77093,0.77205,0.39886,1.4194,0.9349,1.0462,0.00077101,0.00077101,0.00077101
48,1.3422,1.0131,1.0757,0.66104,0.69807,0.6748,0.34449,1.5568,1.0236,1.1478,0.00076801,0.00076801,0.00076801
49,1.3593,1.0145,1.0752,0.70216,0.78001,0.75667,0.40728,1.4257,0.90272,1.0503,0.00076501,0.00076501,0.00076501
50,1.3544,1.0086,1.0698,0.80504,0.69625,0.76638,0.39191,1.432,0.94252,1.0522,0.00076201,0.00076201,0.00076201
51,1.3253,1.0061,1.0692,0.68337,0.69932,0.73279,0.37868,1.4506,1.0112,1.0863,0.00075902,0.00075902,0.00075902
52,1.3779,1.0283,1.0893,0.70451,0.74811,0.72587,0.38811,1.4429,0.97202,1.0734,0.00075602,0.00075602,0.00075602
53,1.3699,1.0086,1.0873,0.71023,0.73145,0.74499,0.36291,1.4445,0.98586,1.0731,0.00075302,0.00075302,0.00075302
54,1.3461,1.0179,1.0767,0.71395,0.7378,0.75519,0.40025,1.4119,0.94957,1.0607,0.00075002,0.00075002,0.00075002
55,1.3444,0.98787,1.0847,0.76245,0.75231,0.79926,0.4184,1.377,0.90811,1.0328,0.00074702,0.00074702,0.00074702
56,1.3429,0.99623,1.069,0.75281,0.75379,0.79533,0.39736,1.4449,0.90759,1.0583,0.00074402,0.00074402,0.00074402
57,1.3221,0.97557,1.0636,0.79028,0.6929,0.76321,0.40334,1.4003,0.93322,1.0399,0.00074102,0.00074102,0.00074102
58,1.3316,0.98295,1.0588,0.69923,0.71867,0.7539,0.38263,1.4907,0.94612,1.1204,0.00073802,0.00073802,0.00073802
59,1.3393,0.98945,1.061,0.71502,0.74674,0.76944,0.40928,1.4334,0.95176,1.0394,0.00073502,0.00073502,0.00073502
60,1.3247,0.98607,1.0569,0.76073,0.77515,0.81024,0.4498,1.3635,0.89439,1.0233,0.00073202,0.00073202,0.00073202
61,1.3299,0.96052,1.0549,0.7335,0.65903,0.69812,0.37178,1.4435,1.066,1.0869,0.00072902,0.00072902,0.00072902
62,1.3055,0.94868,1.0473,0.78554,0.7581,0.78246,0.41769,1.3968,0.8851,1.0507,0.00072602,0.00072602,0.00072602
63,1.3328,0.9739,1.069,0.77269,0.81048,0.80062,0.44202,1.3688,0.86266,1.0261,0.00072302,0.00072302,0.00072302
64,1.3226,0.94602,1.0529,0.74597,0.78157,0.78471,0.39808,1.4152,0.90815,1.0642,0.00072002,0.00072002,0.00072002
65,1.3012,0.96887,1.0578,0.72022,0.74472,0.7522,0.40024,1.3771,0.91906,1.0465,0.00071702,0.00071702,0.00071702
66,1.3082,0.95505,1.0667,0.6521,0.77898,0.7428,0.38586,1.4188,0.91562,1.0609,0.00071402,0.00071402,0.00071402
67,1.3214,0.97074,1.0673,0.78313,0.75281,0.80638,0.44104,1.3679,0.87831,1.0434,0.00071102,0.00071102,0.00071102
68,1.3091,0.9656,1.0576,0.78941,0.73085,0.7939,0.43007,1.3861,0.91106,1.0346,0.00070802,0.00070802,0.00070802
69,1.3024,0.94632,1.0429,0.70305,0.75463,0.77162,0.37554,1.4825,0.95365,1.0875,0.00070502,0.00070502,0.00070502
70,1.296,0.94538,1.0448,0.75675,0.78001,0.79558,0.43673,1.3901,0.89243,1.0382,0.00070202,0.00070202,0.00070202
71,1.3281,0.97127,1.0604,0.75555,0.74434,0.79939,0.42583,1.4008,0.91587,1.0481,0.00069902,0.00069902,0.00069902
72,1.3104,0.93799,1.0458,0.75251,0.77046,0.79345,0.43009,1.3638,0.862,1.0236,0.00069602,0.00069602,0.00069602
73,1.3048,0.94361,1.0369,0.78945,0.75752,0.81454,0.43201,1.4069,0.89872,1.0492,0.00069302,0.00069302,0.00069302
74,1.2728,0.91122,1.0448,0.79016,0.74572,0.78098,0.4039,1.4263,0.91836,1.0455,0.00069002,0.00069002,0.00069002
75,1.2951,0.95106,1.032,0.73971,0.78422,0.80273,0.42774,1.3874,0.88481,1.0244,0.00068702,0.00068702,0.00068702
76,1.3096,0.95351,1.0405,0.78182,0.77636,0.79833,0.42737,1.3932,0.89458,1.032,0.00068402,0.00068402,0.00068402
77,1.2808,0.92366,1.0386,0.77155,0.7619,0.80541,0.443,1.3562,0.84606,1.0225,0.00068102,0.00068102,0.00068102
