epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1761.15,1.53082,1.07977,1.29687,0.80087,0.17016,0.19237,0.09883,2.0773,2.20749,1.57391,0.008581,0.008581,0.008581
45,1801.03,1.49272,1.04993,1.29769,0.51405,0.18615,0.17821,0.09331,2.07751,2.17244,1.55294,0.008548,0.008548,0.008548
46,1841.09,1.54406,1.07623,1.29369,0.84236,0.16328,0.19105,0.09828,2.04906,2.079,1.54415,0.008515,0.008515,0.008515
47,1881.03,1.51329,1.05538,1.28709,0.49131,0.16235,0.16444,0.08399,2.17068,2.41709,1.62848,0.008482,0.008482,0.008482
48,1921.24,1.51171,1.04292,1.29764,0.44489,0.15651,0.14272,0.07002,2.27731,2.21746,1.74288,0.008449,0.008449,0.008449
49,1961.11,1.48551,1.01623,1.27636,0.64386,0.17964,0.18235,0.09045,2.07991,2.12532,1.5352,0.008416,0.008416,0.008416
50,2001.26,1.50624,1.05627,1.27908,0.82701,0.18874,0.21165,0.11074,2.06053,2.0268,1.51678,0.008383,0.008383,0.008383
51,2041.43,1.4845,1.03482,1.28242,0.78289,0.17533,0.17668,0.0924,2.11777,2.20107,1.5445,0.00835,0.00835,0.00835
52,2081.32,1.46325,1.008,1.26152,0.57132,0.19878,0.20351,0.0987,2.04835,2.01854,1.60577,0.008317,0.008317,0.008317
53,2121.18,1.48229,1.0182,1.26737,0.6336,0.21264,0.19407,0.0999,2.15469,2.16238,1.58412,0.008284,0.008284,0.008284
54,2161.18,1.46536,1.00319,1.26649,0.51975,0.22143,0.19197,0.09779,2.11313,2.12197,1.54942,0.008251,0.008251,0.008251
55,2201.14,1.44253,0.99348,1.25916,0.64154,0.1989,0.20128,0.10607,1.9844,2.0723,1.46077,0.008218,0.008218,0.008218
56,2241.18,1.45307,0.99448,1.25842,0.48032,0.16547,0.1618,0.08289,2.16747,2.26413,1.6278,0.008185,0.008185,0.008185
57,2281.05,1.44902,0.98071,1.24382,0.79666,0.15785,0.17733,0.08343,2.23869,2.37051,1.61063,0.008152,0.008152,0.008152
58,2321.05,1.44353,1.00356,1.24685,0.80714,0.16291,0.17213,0.08951,2.14693,2.18852,1.58685,0.008119,0.008119,0.008119
59,2361.03,1.41849,0.96714,1.23664,0.70409,0.18856,0.20105,0.11121,2.0241,2.02944,1.52037,0.008086,0.008086,0.008086
60,2400.93,1.41299,0.96781,1.24108,0.6184,0.22308,0.19271,0.10098,2.02649,2.25323,1.50989,0.008053,0.008053,0.008053
61,2440.98,1.41249,0.95185,1.22679,0.66689,0.19591,0.19636,0.10357,2.01279,2.09007,1.48937,0.00802,0.00802,0.00802
62,2480.7,1.44114,0.96316,1.25715,0.80934,0.18351,0.18595,0.09724,2.086,2.07986,1.54141,0.007987,0.007987,0.007987
63,2520.66,1.40933,0.97141,1.23347,0.63696,0.19288,0.18147,0.09475,2.12044,2.09432,1.56519,0.007954,0.007954,0.007954
64,2560.63,1.40538,0.95619,1.2482,0.82526,0.17892,0.18182,0.0948,2.11302,2.17418,1.56787,0.007921,0.007921,0.007921
65,2600.63,1.40254,0.92947,1.22598,0.38468,0.25639,0.20972,0.1011,2.12983,2.10597,1.56193,0.007888,0.007888,0.007888
66,2640.69,1.38933,0.93546,1.22964,0.67426,0.20967,0.19372,0.10639,1.96793,1.94369,1.49559,0.007855,0.007855,0.007855
67,2680.66,1.39772,0.93541,1.22881,0.7868,0.20709,0.18571,0.09131,2.15671,2.13447,1.55219,0.007822,0.007822,0.007822
68,2720.68,1.39315,0.94331,1.22574,0.78787,0.2079,0.19165,0.09671,2.04764,2.07456,1.51951,0.007789,0.007789,0.007789
69,2760.75,1.38055,0.92035,1.20284,0.81429,0.1895,0.20086,0.10499,2.11027,2.15769,1.6137,0.007756,0.007756,0.007756
70,2800.63,1.39043,0.93946,1.23242,0.69244,0.17645,0.18724,0.09134,2.20578,2.17191,1.63611,0.007723,0.007723,0.007723
71,2840.54,1.36972,0.93415,1.21588,0.81193,0.20486,0.20833,0.10831,2.01605,1.91419,1.50084,0.00769,0.00769,0.00769
72,2880.45,1.36917,0.91044,1.21698,0.34128,0.20313,0.1816,0.09328,2.10286,2.1529,1.55849,0.007657,0.007657,0.007657
73,2920.36,1.35344,0.92004,1.21522,0.66592,0.19592,0.20487,0.10959,1.96862,1.95508,1.48246,0.007624,0.007624,0.007624
74,2960.34,1.36293,0.91165,1.20422,0.33657,0.18556,0.15186,0.07219,2.29796,2.5162,1.73297,0.007591,0.007591,0.007591
75,3000.44,1.38326,0.9109,1.21841,0.78053,0.21313,0.19693,0.10557,2.03304,2.0408,1.51815,0.007558,0.007558,0.007558
76,3040.26,1.3709,0.9081,1.22114,0.79169,0.19582,0.1954,0.10436,1.9868,1.99697,1.49634,0.007525,0.007525,0.007525
77,3080.09,1.34716,0.88821,1.18748,0.66232,0.22728,0.20435,0.10092,2.03222,2.0014,1.50103,0.007492,0.007492,0.007492
